文章发表时间,文章标题(article_title),文章类型,模型,文章摘要(article_abstract),文章关键词(article_keyword)
2017-06-01,网络舆情文本分类系统研究与开发,舆情特征分析,文本分类,"随着互联网的不断发展,新闻评论、微博、论坛的兴起,人们越来越倾向于在网络上发表自己的观点与看法,网络舆情也就显得格外重要。由于网络上的信息错综复杂、内容形式过于丰富,不利于政府相关部门收集网络舆情。为了方便政府部门查看自己感兴趣的舆情信息,需要对舆情文本进行分类。本系统是网络舆情监测系统下的一个子系统,旨在对爬虫抓取到的舆情信息自动进行分类。爬虫端对于抓取到的舆情信息按照来源不同分为长文本与短文本,其中来源为新闻、博客与论坛主楼的舆情为长文本,来源为微博、论坛回复的舆情为短文本。目前常用的分类算法在长文本上性能良好,但是在短文本上的分类效果不尽如人意。本文首先研究长文本分类上的相关算法,然后针对短文本分类的难点,重点对于其进行研究与分析,在已有的技术上对算法进行改进。研究内容主要包括:1.研究了长文本下的特征选择算法与文本分类算法。根据实验结果,最终确定在本系统中长文本特征选择算法采用CHI统计,分类算法采用核函数为RBF的SVM算法。2.提出了一种基于特征拓展的短文本分类方法。该方法通过word2vec对特征项进行拓展改善短文本特征稀疏的难点。测试结果表明,在参数适当的前提下,此算法能明显改进短文本分类的效果。3.在相关技术的基础之上,详细设计并实现了舆情监测系统中的文本分类子系统,该子系统分为四个功能模块,分别为预处理模块、特征选择模块、文本分类模块与交互功能模块。其中,预处理模块介绍与实现了对文本进行分词,过滤停用词以及词频统计;特征选择模块实现了三种常用的特征选择算法与特征拓展;文本分类模块实现了朴素贝叶斯和SVM算法;交互功能模块阐述了分类结果在Web端显示的具体实现。4.最后,分别从功能测试与性能测试两方面入手,证明了系统的有效性和实用性。测试表明,在本系统中使用基于特征拓展的短文本分类方法,在特征词个数选择合理的情况下,对于短文本测试集分类得到的准确率为73.98%,召回率为74.61%,F1值为74.29%。","[""特征选择"",""短文本"",""文本分类"",""网络舆情""]"
2017-05-21,我国网络群体性事件及治理机制研究,舆情特征分析 舆情应对方法,聚类分析,"近年来,科学技术飞速发展,互联网作为21世纪的产物,在中国的普及率大大提升,中国的网民数量也有了突破性的提高。据统计,截止2011年12月底,中国上网的人数已经达到5.13亿,与上一年相比增加了5580万人。由此可见,中国社会俨然进入了一个全新的互联网时代。中国本就庞大的人口基数,再加上社会信息化的快速发展,互联网已经成为越来越多人进行思想交流和沟通的场所,再加上互联网技术的日益更新和以互联网为基础平台的新兴媒体的日渐发达,中国公民越来越深地卷入互联网虚拟生活,越来越多的人习惯了上网、发帖。随着网民人数的增加以及互联网技术的普及,更多地网民习惯了网络,习惯了在网络上谈论现实社会中的热点事件。借助互联网沟通更加顺畅以及它的匿名性,使得许多人更愿意借助网络表达自己的利益诉求或宣泄对现实世界的不满,加之网络的聚集性效应较强,即公众通过网络社区、群组和BBS等形式把相同利益诉求、阶层意识整合在一起,致使人们在网络中更加容易结成某种利益共同体、利益集团、公民社团乃至政治性群落。这对于形成、推动、激发现实生活中的群体性事件将起着不可忽视的作用。因此,虚拟社会与现实社会的相互勾连、交织、互动,就使得当今群体性事件呈现出愈来愈复杂的特性和面孔。之前我国也有不少的学者对网络群体性事件进行了初步的研究,而它的负面影响似乎被当成的研究的重点,他们把网络群体性事件视为干扰社会正常秩序的恶性事件,为了满足自身的利于诉求,参与的主体借助网络这一平台大肆渲染气氛,使得具有相同群体意识的网民产生群体意识,甚至不惜代价采取过激行为,对现实社会造成一定的不良影响。其实,这种论断完全是片面的,本文是从客观角度分析,认为：网络群体性事件没有褒贬之分,它只不过是一种由网民自动发起的并亲身参与的,为表达自身诉求而对社会产生一定影响的群体性行为。所以在对待网络群体性事件时,公众要持客观的态度,尤其是各级地方政府更应该积极应对,一些地方政府经常采取“反弹琵琶”的手法,一味地压制、逃避,这种做法是不可取的。本文从客观的角度对网络群体性事件进行聚类分析,提出了建立舆情预警系统,强化传统媒体舆论导向功能,构建社会利益整合机制,完善网络法律制度,把握舆论至高点以及搭建网络对话平台,与网民积极的沟通交流,及时疏导网民的激烈情绪,从而有效治理网络群体性事件。本文是对网络媒体评选的2011年我国社会热点事件进行二次分析,基于聚类分析的视角,通过聚类指标选择以及指标赋值对20例事件进行量化分析,将20例典型事件中具有一定相似度的事件分为一组,对其进行详细的分析研究,通过运用科学的聚类分析方法,依据网络群体性事件的概念选取研究样本,并对其进行指标选择和赋值,然后得出治理网络群体性事件的有效措施。网络群体事件的治理机制分析是本文的一个研究重点。在对治理机制的探讨研究中,本文通过对我国近年来发生的“哈尔滨林松岭事件”、“湖北邓玉娇事件”、“杭州飙车案”这三起普遍引起社会广泛关注事件的详细描述以及深刻客观分析,并从三个不同的角度提出了治理的具体策略和方法,得出政府应对网络群体性事件的宏观策略,为构建社会主义和谐社会做出一丝贡献。","[""群体行为"",""网络群体性事件"",""网络舆情"",""聚类分析"",""治理机制""]"
2017-05-20,基于层次分析法的影响微信中社会思潮传播的因素研究,舆情传播规律,层次分析法,舆情传播规律,"[""层次分析法"",""微信"",""社会思潮"",""新媒体"",""网络舆情""]"
2017-05-15,昆明某医学高校突发砍人事件网络舆情的聚类分析,舆情分析,聚类分析,"以2015年昆明某医学高校发生的一起校园砍人事件为例,结合网络舆情的载体和主体进行舆情分析,收集到关注度较高的5大新闻网站网民评论量,共提取了11个主题关键词,并统计了它们的词频,分析出网民评论的倾向性;通过构建数据矩阵进行聚类分析,得出关键词的5个分类;最后,根据模型分类结果,针对高校突发安全事件的应急处置工作,从信息发布、心理素质综合训练、处置机制、处置协助、舆情控制等提出一些建议.","[""突发安全事件"",""网络舆情"",""聚类分析"",""应急处置"",""昆明""]"
2017-05-15,基于调和K均值与粒子群优化的舆情预测预警模型研究,舆情预测,调和k均值 粒子群优化,"[目的/意义]为大数据环境下针对舆情的发生和演化提出适当应对方式和手段提供参考。[方法/过程]基于调和K均值聚类分析原理,提出一种用于判断舆情演化趋势的预测预警模型,并将粒子群优化嵌入模型以加速大数据环境下的算法收敛,提升算法的时间性。[结果/结论]通过仿真实验验证了该模型的有效性,对网络舆情预测与研判具有一定的可行性和实用性。","[""网络舆情"",""调和K均值"",""粒子群优化"",""舆情分析与预警""]"
2017-05-10,基于参数反演的网络舆情传播趋势预测——以新浪微博为例,舆情传播规律,BP神经网络,"针对现有的舆情传播模型研究与实际舆情数据结合较少以及难以从舆情大数据中挖掘舆情传播内在规律的问题,提出一种基于实际网络舆情大数据采用神经网络的舆情传播模型参数反演算法。改进经典SIR传染病传播模型,构建一种网络舆情传播模型,基于该模型对实际案例进行参数反演,预测网络舆情的后续传播趋势,并与马尔可夫预测模型对比,所提算法可以精确预测舆情的具体热度值。实验结果表明,所提算法在预测性能上具有一定的优越性,可以用于网络突发事件传播的数据拟合、过程模拟和趋势预测。","[""新浪微博"",""SIR模型"",""反向传播神经网络"",""参数反演"",""舆情传播""]"
2017-05-03 09:20,网络舆情数据质量的评估,舆情质量评估,统计模型,"对网络舆情数据的研究日益得到重视和关注,而目前网络舆情主题中对数据质量的研究比较鲜见。文章通过对网络舆情调查和整理出来的统计数据,采用统计学的方法对其准确性、变化趋势存在的问题进行分析检验、矫正、确认,以达到对数据质量进行评估、找出导致异常数据的原因及补救措施。并通过优酷网用户的视频统计进行了实证分析。","[""网络舆情"",""数据质量"",""统计模型""]"
2017-05-01,基于灰色预测模型的突发事件衰退期演变研究,舆情预测,灰色模型,"突发事件网络舆情规律研究对应急管理部门在突发事件发生后迅速采取调控以稳定网络环境具有重要作用。本文针对温州房屋倒塌事故,以网民对事件的发帖量作为计量指标并分时间段进行了监测统计,建立了事件衰退期的灰色预测模型,通过弱化算子进行二阶弱化确定了模型的精确度,并对模型精度进行了检验,为以后突发事件模型的预测提供参考。","[""网络舆情"",""突发事件"",""灰色预测"",""弱化算子""]"
2017-05-01,基于灰色关联分析的网络舆情热点事件研究,舆情分析,灰色关联分析,"通过对网络舆情热点事件特点的分析,建立了搜索指数、舆情关注度等5个定量指标构成的网络舆情热度评判体系。在此基础上,运用灰色关联分析求解关联度的方法,近似得到了若干个热点事件的网络舆情热度值排序,可以为有关部门分类分级管理网络舆情热点事件提供参考。","[""网络舆情"",""指标体系"",""灰色关联分析"",""热点""]"
2017-05-01,面向大数据的网络舆情多平台交互机理研究,舆情多平台交互机理,多元回归分析,"网络舆情在进入手机4g时代发生了很大变化,网民无论在时间还是地点两个方面都不再受到限制。由于智能手机的普及,微信、微博、客户端等新媒体兴起,传统纸媒相继推出了网页版本和微媒体版本,新闻网站的新闻条目里也具备了留言功能和转发微信、微博的功能,网络舆情在新媒体环境下呈现出新特点。该文在研究网络舆情案例的基础上,构建包括微信、微博、网站、报刊、论坛、客户端的网络舆情平台交互模型,并且多元回归分析定量研究相关关系,为舆情管理提供符合实战需求的可操作性监测目标。","[""大数据"",""网络舆情"",""多元回归分析""]"
